topic,aka,owner,scope,notes,program_flow,pr,cdc_link,spanish
ALVEOLAR ECHINOCOCCOSIS,"Echinococcosis, Hydatid Disease",CGH/DPDM/PDB,REFER,"Refer caller to 404-718-4745 8am - 4pm EST ONLY if caller has a doctor's diagnosis for reported issue.  Otherwise, escalate.",Parasitic Diseases - Program Flow,YES,http://www.cdc.gov/parasites/echinococcosis/gen_info/ae-faqs.html,N
ALZHEIMERS DISEASE,,NCCDPHP / DPH,ESCALATE,,,YES,http://www.cdc.gov/aging/aginginfo/alzheimers.htm,N
AMEBIASIS,Entamoeba histolytica infection,NCEZID/DFWED/WDPB,ESCALATE,,,YES,http://www.cdc.gov/parasites/amebiasis/,N
AMERICAN INDIAN / ALASKA NATIVE VACCINATION,,NCIRD / ISD,IN,,Immunization - Program Flow,YES,http://www.cdc.gov/vaccines/spec-grps/ai-an.htm,N
AMERICAN TRYPANOSOMIASIS,Chagas Disease,CGH/DPDM/PDB,IN,,Parasitic Diseases - Program Flow,YES,http://www.cdc.gov/parasites/chagas/,Y
AMMONIA,,ATSDR / DTEM,IN,Occupational Exposure is NIOSH,,YES,http://www.atsdr.cdc.gov/substances/toxsubstance.asp?toxid=2,N
AMYOTROPHIC LATERAL SCLEROSIS REGISTRY,"Lou Gehrig's disease registry, National ALS Registry",Esi Darku,ESCALATE,Registry inquiries should be routed to Tom Hicks at twh1@cdc.gov,,YES,http://wwwn.cdc.gov/ALS/Default.aspx,N
ANAPLASMOSIS,"HGA, human granulocytic anaplasmosis, anaplasma species, tickborne disease",NCEZID / DVBD/RZB,IN,use PRs and escalate if needed to dvbd@cdc.gov,Vectorborne Infectious Diseases - Program Flow,YES,http://www.cdc.gov/anaplasmosis/,N
ANCYLOSTOMIASIS / ANCYLOSTOMA INFECTION,"Hookworm, CLM",CGH/DPDM/PDB,REFER,"Refer caller to 404-718-4745 8am - 4pm EST ONLY if caller has a doctor's diagnosis for reported issue.  Otherwise, escalate.",Parasitic Diseases - Program Flow,YES,http://www.cdc.gov/parasites/hookworm/,N
ANEMIA,,NCBDDD,IN,,Birth Defects - Program Flow,YES,http://www.cdc.gov/nutrition/everyone/basics/vitamins/iron.html,N
ANGIOSTRONGYLIASIS / ANGIOSTRONGYLUS INFECTION,,CGH/DPDM/PDB,REFER,"Refer caller to 404-718-4745 8am - 4pm EST ONLY if caller has a doctor's diagnosis for reported issue.  Otherwise, escalate.",Parasitic Diseases - Program Flow,YES,http://www.cdc.gov/parasites/angiostrongylus/,N
ANIMAL IMPORTATION,,NCEZID / DGMQ,IN,"If needed escalate to DGMQ at nciddqweb@cdc.gov. Please note, for Dog Importation see Dog Confinement Agreements in A-Z",Animal Importation,YES,http://www.cdc.gov/animalimportation/,N
ANIMAL-RELATED DISEASES,,NCEZID / DFWED,IN,,,YES,http://www.cdc.gov/healthypets/,N
" ANIMALS, LABORATORY",,NCEZID / DSR,REFER,askdsr@cdc.gov,,NO,http://www.cdc.gov/od/science/integrity/acupo/,N
ANISAKIASIS / ANISAKIS INFECTION,Pseudoterranova Infection,CGH/DPDM/PDB,REFER,"Refer caller to 404-718-4745 8am - 4pm EST ONLY if caller has a doctor's diagnosis for reported issue.  Otherwise, escalate.",Parasitic Diseases - Program Flow,YES,http://www.cdc.gov/parasites/anisakiasis/,N
ANTHRAX,,NCEZID/ DHCPP / BSPB,IN,,Special Pathogens - Program Flow,YES,http://emergency.cdc.gov/agent/anthrax/,N
ANTHRAX VACCINE,,NCIRD / ISD,IN,Pink Book Information = Tier 3 ONLY,Immunization - Program Flow,YES,http://emergency.cdc.gov/agent/anthrax/vaccination/index.asp,N
ANTIBIOTIC RESISTANCE,,NCEZID / DHQP,IN,,,YES,http://www.cdc.gov/drugresistance/index.html,N
ANTIBIOTIC RESISTANCE IN THE COMMUNITY / OUTPATIENT SETTING,,NCIRD / DBD,ESCALATE,Use RDB Mailbox: rdb@cdc.gov,National Center for Immunization and Respiratory Disease (NCIRD) - Program Flow,YES,http://www.cdc.gov/drugresistance/index.html,N
ANTIMICROBIAL RESISTANCE,,NCEZID / DHQP,IN,,,YES,http://www.cdc.gov/drugresistance/index.html,N
ANTINEOPLASTIC AGENTS,,NIOSH,IN,,NIOSH - Program Flow,YES,http://www.cdc.gov/niosh/topics/antineoplastic/,N
ANTIPHOSPHOLIPID ANTIBODY SYNDROME,APS,,REFER,"Out of scope for CDC; refer to http://www.rarediseases.org; NATIONAL ORGANIZATION FOR RARE DISORDERS, INC Office: 203-744-0100 and http://www.nhlbi.nih.gov NATIONAL INSTITUTES OF HEALTH - NHLBI Office: 301-592-8573",,NO,,
ArboNET SURVEILLANCE SYSTEM,ArboNET,NCEZID / DVBD/ADB,IN,"use PRs and www.cdc.gov/ncidod/dvbid/westnile/USGS_frame.html. Escalate, if needed, to dvbd@cdc.gov",,NO,,
ARCTIC INVESTIGATIONS AIP,AIP,NCEZID / DPEI,REFER,(907) 729-3400 or (800) 699-0767,,YES,http://www.cdc.gov/ncezid/dpei/aip/,N
ARENAVIRUS INFECTION,,NCEZID / DHCPP / VSPB,IN,*Special Pathogen: Use PRs or escalate according to call flow,Special Pathogens - Program Flow,YES,http://www.cdc.gov/vhf/virus-families/arenaviridae.html,N
ARSENIC,,ATSDR / DTEM,IN,Occupational Exposure is NIOSH,,YES,http://emergency.cdc.gov/agent/arsenic/index.asp,Y
ARSINE,,ATSDR / DTEM,IN,Occupational Exposure is NIOSH,,YES,http://emergency.cdc.gov/agent/arsine/facts.asp,N
ART (ASSISTED REPRODUCTIVE TECHNOLOGY),,NCCDPHP / DRH,ESCALATE,DRH HOT TOPIC,,YES,http://www.cdc.gov/ART/index.htm,N
ARTHRITIS,Osteoarthritis,NCCDPHP / DPH,IN,,,YES,http://www.cdc.gov/arthritis/,Y
ARTHROPOD-BORNE DISEASES (ARBOVIRUSES),Arboviruses,NCEZID / DVBD/ADB,IN,use PRs and escalate if needed to dvbd@cdc.gov,,YES,http://www.cdc.gov/ncidod/dvbid/arbor/arbdet.htm,N
ASBESTOS,,ATSDR / DTEM,IN,Occupational Exposure is NIOSH,,YES,http://www.atsdr.cdc.gov/asbestos/                          http://www.cdc.gov/niosh/topics/asbestos/,N
ASCARIASIS / ASCARIS INFECTION,Intestinal Roundworms,CGH/DPDM/PDB,IN,,Parasitic Diseases - Program Flow,YES,http://www.cdc.gov/parasites/ascariasis/,N
ASCUS,Atypical Cells of Undetermined Significance,NCCDPHP / DCPC,ESCALATE,,,NO,http://www.cdc.gov/std/hpv/pap/,N
ASEPTIC MENINGITIS,Viral Meningitis,NCIRD / DVD,IN,,National Center for Immunization and Respiratory Disease (NCIRD) - Program Flow,YES,http://www.cdc.gov/meningitis/viral.html,N
ASPERGILLOSIS / ASPERGILLUS INFECTION,,NCEZID / DFWED,IN,,,YES,http://www.cdc.gov/fungal/aspergillosis/definition.html,N
ASPHALT FUMES,,NIOSH,IN,,NIOSH - Program Flow,NO,http://www.cdc.gov/niosh/topics/asphalt/,Y
ASSISTED REPRODUCTIVE TECHNOLOGY (ART),,NCCDPHP / DRH,ESCALATE,DRH HOT TOPIC,,YES,http://www.cdc.gov/ART/index.htm,N
ASTHMA & ALLERGIES,,NCEH / EHHE,IN,Workplace-related is NIOSH,,YES,http://www.cdc.gov/asthma/    http://www.cdc.gov/niosh/topics/asthma/,N
ASTHMA & SCHOOLS,"Youth and asthma, asthma in schools, asthma and schools",NCCDPHP / DPH - SHB,IN,,,YES,http://www.cdc.gov/HealthyYouth/asthma/index.htm,N
ASTROVIRUS,Viral Gastroenteritis,NCIRD / DVD,ESCALATE,,National Center for Immunization and Respiratory Disease (NCIRD) - Program Flow,YES,http://www.cdc.gov/ncidod/dvrd/revb/gastro/faq.htm,N
ATTENTION DEFICIT/HYPERACTIVITY DISORDER,ADHD,NCBDDD,IN,,Birth Defects - Program Flow,YES,http://www.cdc.gov/ncbddd/adhd/,Y
ATYPIA,,NCCDPHP / DCPC,ESCALATE,,,NO,,
AUTISM,,NCBDDD,IN,,Birth Defects - Program Flow,YES,http://www.cdc.gov/ncbddd/autism/index.html,Y
AVIAN INFLUENZA,"Bird Flu, H5N1",NCIRD / ID,IN,"Any Doctor with paitent or suspected case of avian flu : contact CDC Influenza Division Epidemiology and Prevention Branch at (404) 639-3747 (Monday – Friday, 8:30 AM - 5:00 PM or the EOC on-call epidemiologist at (770) 488-7100 (all other times).  ",Influenza - Program Flow,YES,http://www.cdc.gov/niosh/topics/avianflu/,N
AVIAN INFLUENZA: PROTECTING WORKERS FROM EXPOSURE,,NIOSH,IN,,NIOSH - Program Flow,YES,http://www.cdc.gov/niosh/topics/avianflu/,N
" AVIATION, COMMERCIAL (ALASKA)",,NIOSH,IN,,NIOSH - Program Flow,NO,http://www.cdc.gov/niosh/topics/aviation/,N
" AVIPOX (PIGEONPOX, FOWLPOX, CANARY POX)-NON SENTINEL EVENT",,NCIDOD / SPB,ESCALATE,Speak w/SME 404-639-4129 business hours 8:30AM-5:30PM Eastern,Special Pathogens - Program Flow,NO,,
" AVIPOX (PIGEONPOX, FOWLPOX, CANARY POX)-SENTINEL EVENT",,NCIDOD / SPB,ESCALATE,If  medical professional w/ sentinel event : Transfer to  EOC,Special Pathogens - Program Flow,NO,,
B VIRUS INFECTION,Cercopithecine herpesvirus 1,NCIRD / DVD,IN,,National Center for Immunization and Respiratory Disease (NCIRD) - Program Flow,YES,http://www.cdc.gov/herpesbvirus/,N
BABESIOSIS / BABESIA INFECTION,,CGH/DPDM/PDB,REFER,"Refer caller to 404-718-4745 8am - 4pm EST ONLY if caller has a doctor's diagnosis for reported issue.  Otherwise, escalate.",Parasitic Diseases - Program Flow,YES,http://www.cdc.gov/parasites/babesiosis/,N
BACILLUS CEREUS - EMESIS/GASTROINTESTINAL,,NCEZID / DFWED,ESCALATE,,,NO,,
BACILLUS CEREUS- ANTHRAX-RELATED/OTHER,,NCEZID/ DHCPP / BSPB,ESCALATE,,Special Pathogens - Program Flow,NO,,
BACK BELTS,,NIOSH,IN,,NIOSH - Program Flow,YES,http://www.cdc.gov/niosh/topics/ergonomics/#back,N
BACTERIAL VAGINOSIS (BV),"Gardnerella vaginalis, Mycoplasma hominis",NCHHSTP / DSTDP,IN,,Sexually Transmitted Diseases (STD) Program Flow,YES,http://www.cdc.gov/std/bv/default.htm,Y
BALAMUTHIA MANDRILLARIS,,NCEZID / DFWED / WDPB,ESCALATE,Send to healthywater@cdc.gov,,NO,http://www.cdc.gov/parasites/balamuthia/,N
BALANTIDIASIS / BALANTIDIUM INFECTION,,CGH/DPDM/PDB,REFER,"Refer caller to 404-718-4745 8am - 4pm EST ONLY if caller has a doctor's diagnosis for reported issue.  Otherwise, escalate.",Parasitic Diseases - Program Flow,YES,http://www.cdc.gov/parasites/balantidium/,N
BARTONELLA,"Cat Scratch Disease, Oroyo fever, trench fever, bacillary angiomatosis",NCEZID / DVBD/BDB&RZB,ESCALATE,Escalate to dvbd@cdc.gov,Vectorborne Infectious Diseases - Program Flow,YES,http://www.cdc.gov/bartonella/,N
BARTONELLA HENSELAE INFECTION (CSF),Cat Scratch Disease,NCEZID / DVBD,ESCALATE,,Vectorborne Infectious Diseases - Program Flow,YES,http://www.cdc.gov/bartonella/,N
BASIDIOBOLUS,Gastrointestinal Basidiobolomycosis,NCEZID / DFWED,ESCALATE,,,NO,,
BAYLISASCARIASIS / BAYLISASCARIS INFECTION,Raccoon Roundworm Infection,CGH/DPDM/PDB,REFER,"Refer caller to 404-718-4745 8am - 4pm EST ONLY if caller has a doctor's diagnosis for reported issue.  Otherwise, escalate.",Parasitic Diseases - Program Flow,YES,http://www.cdc.gov/parasites/baylisascaris/,N
BCG (TUBERCULOSIS VACCINE),,NCHHSTP / DTBE,IN,,Tuberculosis (TB) - Program Flow,YES,http://www.cdc.gov/tb/topic/vaccines/default.htm,N
BEDBUGS,,CGH/DPDM/PDB,IN,No escalations for bedbugs please refer to state and local health departments,Parasitic Diseases - Program Flow,YES,http://www.cdc.gov/parasites/bedbugs/,N
BEHAVIORIAL RISK FACTOR SURVEILLANCE SURVEY,BRFSS,NCCDPHP / DPH,IN,Send escalations to dachpublicinquiries@cdc.gov,,YES,http://www.cdc.gov/brfss/,N
BENZENE,,ATSDR / DTEM,IN,Occupational Exposure is NIOSH,,YES,http://www.cdc.gov/niosh/topics/benzene/,N
BERYLLIUM,,ATSDR / DTEM,IN,Occupational Exposure is NIOSH,,YES,http://www.cdc.gov/niosh/topics/beryllium/,N
BICYCLE SADDLES AND REPRODUCTIVE HEALTH,,NIOSH,IN,,NIOSH - Program Flow,NO,http://www.cdc.gov/niosh/topics/bike/,N
BILHARZIA,Schistosomiasis,CGH/DPDM/PDB,IN,,Parasitic Diseases - Program Flow,YES,http://www.cdc.gov/parasites/schistosomiasis/,N
BIOMONITORING,,NCEH / DLS,IN,Workplace-related is NIOSH,,YES,http://www.cdc.gov/biomonitoring/,N
BIOMONITORING GRANTS,,NCEH / DLS,ESCALATE,,,NO,http://www.cdc.gov/biomonitoring/state_grants.html,N
BIOSAFETY,,OD / OHS,,,,YES,http://www.cdc.gov/biosafety/,N
BIOSOLIDS,,NCEH / EEHS,IN,,,YES,http://www.cdc.gov/nceh/ehs/Topics/biosolids.htm,N
BIOTERRORISM,,NCPDCID / DBPR,IN,,,YES,http://emergency.cdc.gov/bioterrorism/,Y
BIOTERRORISM AGENTS/DISEASES,,NCPDCID / DBPR,IN,,,YES,http://emergency.cdc.gov/agent/agentlist.asp,Y
" BIRDS, INFECTIONS FROM",ecology in arboviral diseases only,NCEZID / DVBD,IN,,Vectorborne Infectious Diseases - Program Flow,YES,,
BIRTH CONTROL,Contraception,NCCDPHP / DRH,ESCALATE,DRH HOT TOPIC,,YES,http://www.cdc.gov/reproductivehealth/UnintendedPregnancy/Contraception.htm,N
BIRTH DATA,Natality,NCHS,ESCALATE,,NCHS Health Statistics - Program Flow,YES,http://www.cdc.gov/nchs/births.htm,N
BIRTH DEFECTS,,NCBDDD,IN,,Birth Defects - Program Flow,YES,http://www.cdc.gov/ncbddd/birthdefects/index.html,Y
BISEXUAL HEALTH,,NCHHSTP,IN,"HIV, STD, Hepatitis related topics ",Sexually Transmitted Diseases (STD) Program Flow,YES,http://www.cdc.gov/lgbthealth/women.htm   http://www.cdc.gov/lgbthealth/msm.htm,N
BISPHENOL A,BPA,NCEH / DLS,ESCALATE,,,YES,http://www.cdc.gov/biomonitoring/BisphenolA_FactSheet.html,N
BLACK HENNA TATTOOS,"Tattoos, henna",NCEZID / Travelers' Health,ESCALATE,Escalate to nciddqweb@cdc.gov,Travelers' Health - Program Flow Matrix,NO,http://www.cdc.gov/nceh/ehs/Topics/BodyArt.htm,N
BLACK LUNG,Coal Workers' Pneumoconioses,NIOSH,IN,,NIOSH - Program Flow,YES,http://www.cdc.gov/niosh/topics/pneumoconioses/,N
BLAST INJURIES,,NCIPC / DUIP,IN,,,YES,http://emergency.cdc.gov/masscasualties/blastinjuryfacts.asp,N
BLASTOCYSTIS INFECTION,B. hominis,CGH/DPDM/PDB,IN,,Parasitic Diseases - Program Flow,YES,http://www.cdc.gov/parasites/blastocystis/,N
BLASTOMYCOSIS,,NCEZID / DFWED,IN,,,YES,http://www.cdc.gov/fungal/blastomycosis/,N
BLEEDING DISORDERS,"Hemophilia, von Willebrand Disease",NCBDDD,IN,,Birth Defects - Program Flow,YES,http://www.cdc.gov/ncbddd/blooddisorders/index.html,Y
BLOOD DISORDERS,"Bleeding Disorders, Thrombophilia, Thalassemia",NCBDDD,IN,,Birth Defects - Program Flow,YES,http://www.cdc.gov/ncbddd/blooddisorders/index.html,Y
BLOOD LEAD LEVELS,,NCEH / EEHS,IN,,,YES,http://www.cdc.gov/nceh/lead/,N
BLOODBORNE PATHOGENS,"HIV/AIDS, Hepatitis B & C",NCEZID / DHQP,IN,,,YES,http://www.cdc.gov/niosh/topics/bbp/,Y
BMBL (BIOSAFETY IN MICROBIOLOGICAL AND BIOMEDIAL LABORATORIES),BMBL,OD/ OHS,,,,YES,http://www.cdc.gov/biosafety/publications/bmbl5/,N
BOCAVIRUS,Respiratory Illnesses and Viruses,NCIRD / DVD,ESCALATE,,National Center for Immunization and Respiratory Disease (NCIRD) - Program Flow,YES,,
BODY LICE,"Head lice (Pediculosis), Pubic Lice (Phthiriasis)",CGH/DPDM/PDB,IN,,Parasitic Diseases - Program Flow,YES,http://www.cdc.gov/parasites/lice/body/,Y
BODY AND MIND,BAM,,ESCALATE,Please refer  to all inquires to Kavitha Muthuswamy: ihs8@cdc.gov,,YES,http://www.cdc.gov/bam/index.html,N
BODY MASS INDEX / BMI,BMI,NCCDPHP / DNPAO,IN,,DNPAO - Program Flow,YES,http://www.cdc.gov/healthyweight/assessing/bmi/index.html,N
BODY MEASUREMENTS,,NCCDPHP / DNPAO,IN,,DNPAO - Program Flow,YES,http://www.cdc.gov/healthyweight/assessing/bmi/index.html,N
BODY MEASUREMENTS,Osteoporosis,NCCDPHP / DNPAO,IN,,DNPAO - Program Flow,YES,http://www.cdc.gov/nutrition/everyone/basics/vitamins/calcium.html,N
" BORDER, US - MEXICO HEALTH ISSUES",,NCEH / EHHE,IN,,,NO,http://www.cdc.gov/nceh/hsb/borderhealth/,N
BORRELIA BURGDORFERI INFECTION,"Lyme Disease, bacterial disease, vector-borne",,,,Lyme Disease - Program Flow,YES,http://www.cdc.gov/lyme/,N
BORRELIA MIYAMOTOI,Bacteria,NCEZID / DVBD / BDB,ESCALATE,Escalate to dvbd@cdc.gov,Vectorborne Infectious Diseases - Program Flow,YES,,
BOTULISM,Food Borne Infection; Clostridium botulinum,NCEZID / DFWED,IN,,Botulism - Program Flow,,http://www.cdc.gov/nczved/divisions/dfbmd/diseases/botulism/#treat,N
BOTULISM ANTITOXIN,,,ESCALATE,Transfer to EOC - 770-488-7100,,NO,http://www.cdc.gov/nczved/divisions/dfbmd/diseases/botulism/#treat,N
BOTUSA,Botswana-USA,NCHHSTP / OD,ESCALATE,Escalate to Program based on Topic,,NO,http://www.cdc.gov/botusa/,N
BOVINE PAPULAR STOMATITIS VIRUS-NON SENTINEL EVENT,,NCIDOD / SPB,ESCALATE,Speak w/SME 404-639-4129 business hours 8:30AM-5:30PM Eastern,,NO,,
BOVINE PAPULAR STOMATITIS VIRUS-SENTINEL EVENT,,NCIDOD / SPB,ESCALATE,If  medical professional w/ sentinel event : Transfer to  EOC,,YES,,
BOVINE SPONGIFORM ENCEPHALOPATHY (BSE),"Mad Cow, vCJD",NCEZID / DHCPP / PPHO,ESCALATE,prion@cdc.gov,,YES,http://www.cdc.gov/ncidod/dvrd/bse/,N
BP OIL SPILL,,NIOSH,ESCALATE,,,YES,http://www.cdc.gov/niosh/topics/oilspillresponse/,Y
BRAINERD DIARRHEA,,NCEZID / DFWED,ESCALATE,,,YES,http://www.cdc.gov/nczved/divisions/dfbmd/diseases/brainerd_diarrhea/,N
BREAST CANCER,,NCCDPHP / DCPC,IN,,,YES,http://www.cdc.gov/cancer/breast/,Y
BREASTFEEDING,,NCCDPHP / DNPAO,IN,,DNPAO - Program Flow,YES,http://www.cdc.gov/breastfeeding/,N
BRFSS,Behavioral Risk Factor Surveillance System,NCCDPHP / DPH,IN,,,YES,http://www.cdc.gov/brfss/,N
BROMINATED FLAME RETARDANTS,BFRs,NCEH / DLS,ESCALATE,,,NO,,
BROMINE,,ATSDR / DTEM,IN,Occupational Exposure is NIOSH,,YES,http://emergency.cdc.gov/agent/bromine/,N
BROMOBENZYLCYANIDE (CA),"Tear Gas, Riot Control Agents",ATSDR / DTEM,IN,Occupational Exposure is NIOSH,,NO,http://emergency.cdc.gov/agent/riotcontrol/agentpoisoning.asp,N
BRUCELLOSIS / BRUCELLA INFECTION,Brucella,NCEZID/ DHCPP / BSPB,IN,,Special Pathogens - Program Flow,YES,http://www.cdc.gov/brucellosis/,N
BRUSH UP ON HEALTHY TEETH - (Publication),,NCCDPHP / DOH,ESCALATE,"• The email address for (brushup@cdc.gov) to request copies of “Brush Up on Healthy Teeth” is not working, requestors send an e-mail to: oralhealth@cdc.gov to request copies",,YES,http://www.cdc.gov/OralHealth/publications/factsheets/childrens_oral_health/brushup.htm,N
BSI DIALYSIS COLLABORATIVE,,NCEZID / DHQP,ESCALATE,Escalate to hip@cdc.gov,,NO,http://www.cdc.gov/dialysis/collaborative/,N
BUDGET AND FINANCIAL MANAGEMENT,,FMO,REFER,404.498.4000 and/or FMOservicedesk@cdc.gov,,YES,http://www.cdc.gov/fmo/,N
BUFFALOPOX-NON SENTINEL EVENT,,NCIDOD / SPB,ESCALATE,Speak w/SME 404-639-4129 business hours 8:30AM-5:30PM Eastern,,NO,,
BUFFALOPOX-SENTINEL EVENT,,NCIDOD / SPB,ESCALATE,If  medical professional w/ sentinel event : Transfer to  EOC,,NO,,
BUILT ENVIRONMENT,Healthy Places,NCEH / EEHS,IN,,,YES,http://www.cdc.gov/nceh/information/built_environment.htm,N
